EmployeeID,Age,Gender,Department,JobRole,MaritalStatus,Education,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,OverTime,PerformanceRating,Attrition,AgeGroup,TenureGroup,SalaryBand,PromotionStatus,AttritionFlag
2001,47,Female,Admin,HR Manager,Married,Bachelor,11785,22,3,2,1,No,4,Yes,41-50,10+ Years,High,Promoted 1-2 Yrs Ago,1
2002,46,Female,Finance,Finance Analyst,Divorced,PhD,4559,25,2,3,4,Yes,4,Yes,41-50,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2003,34,Male,Finance,Operations Manager,Divorced,PhD,3448,25,4,4,4,Yes,3,Yes,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2004,60,Male,R&D,HR Manager,Divorced,Master,11494,22,7,1,3,No,3,No,51+,10+ Years,High,Promoted 1-2 Yrs Ago,0
2005,33,Male,Sales,Operations Manager,Divorced,Master,3478,3,8,2,2,Yes,4,Yes,30-40,3-6 Years,Low,Promoted 1-2 Yrs Ago,1
2006,36,Male,Operations,HR Associate,Single,Master,14180,22,2,1,4,No,3,No,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,0
2007,37,Male,Admin,IT Specialist,Married,PhD,4243,27,2,4,2,No,2,Yes,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2008,30,Male,Finance,HR Manager,Married,Master,14220,25,10,1,2,No,4,Yes,30-40,10+ Years,High,Promoted 1-2 Yrs Ago,1
2009,27,Male,Admin,Sales Executive,Divorced,PhD,4388,6,8,2,3,Yes,2,No,<30,3-6 Years,Low,Promoted 1-2 Yrs Ago,0
2010,38,Male,R&D,Admin Assistant,Single,PhD,9381,27,8,3,1,Yes,4,No,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2011,46,Female,R&D,Sales Executive,Divorced,Bachelor,5906,13,4,4,1,No,3,Yes,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2012,55,Female,R&D,Sales Representative,Married,Master,8136,24,10,3,4,Yes,4,Yes,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2013,56,Male,Operations,Admin Assistant,Married,PhD,13997,11,6,4,3,Yes,4,Yes,51+,10+ Years,High,Promoted 3-5 Yrs Ago,1
2014,27,Female,HR,Admin Assistant,Divorced,Bachelor,5055,20,9,1,3,No,2,Yes,<30,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2015,53,Female,IT,Operations Manager,Divorced,PhD,8996,20,6,1,2,Yes,2,Yes,51+,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2016,34,Male,IT,IT Specialist,Divorced,Master,4400,9,3,3,2,No,3,No,30-40,7-10 Years,Low,Promoted 3-5 Yrs Ago,0
2017,48,Female,R&D,Laboratory Technician,Married,Bachelor,6004,29,6,3,1,No,3,Yes,41-50,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2018,59,Male,R&D,Laboratory Technician,Single,PhD,7948,7,8,1,3,Yes,4,Yes,51+,7-10 Years,Medium,Promoted 1-2 Yrs Ago,1
2019,35,Male,Finance,HR Manager,Divorced,PhD,7592,13,7,3,2,Yes,3,Yes,30-40,10+ Years,Medium,Promoted 3-5 Yrs Ago,1
2020,45,Male,Finance,Admin Assistant,Single,PhD,4090,0,4,2,1,No,3,Yes,41-50,0-2 Years,Low,Promoted 1-2 Yrs Ago,1
2021,46,Female,IT,Research Scientist,Married,Bachelor,7406,3,5,3,1,Yes,2,Yes,41-50,3-6 Years,Medium,Promoted 3-5 Yrs Ago,1
2022,35,Female,R&D,Finance Analyst,Married,Bachelor,13646,7,7,1,3,No,2,Yes,30-40,7-10 Years,High,Promoted 1-2 Yrs Ago,1
2023,31,Male,Sales,Admin Assistant,Married,PhD,4773,17,10,1,1,No,2,Yes,30-40,10+ Years,Low,Promoted 1-2 Yrs Ago,1
2024,51,Male,Sales,Finance Analyst,Divorced,Master,13079,15,0,4,1,No,3,No,51+,10+ Years,High,Promoted 3-5 Yrs Ago,0
2025,33,Female,IT,Admin Assistant,Single,Bachelor,3808,19,2,3,2,Yes,3,Yes,30-40,10+ Years,Low,Promoted 3-5 Yrs Ago,1
2026,58,Female,R&D,Finance Analyst,Married,Bachelor,7841,27,6,3,1,Yes,2,No,51+,10+ Years,Medium,Promoted 3-5 Yrs Ago,0
2027,43,Female,HR,HR Manager,Married,Bachelor,8526,24,3,1,2,Yes,2,Yes,41-50,10+ Years,Medium,Promoted 1-2 Yrs Ago,1
2028,27,Male,Admin,HR Associate,Single,Bachelor,4748,2,6,4,2,Yes,2,No,<30,0-2 Years,Low,Promoted 3-5 Yrs Ago,0
2029,55,Female,IT,Sales Executive,Married,Bachelor,5289,11,7,2,3,Yes,3,No,51+,10+ Years,Medium,Promoted 1-2 Yrs Ago,0
2030,27,Female,Sales,HR Manager,Married,PhD,11301,1,5,1,4,No,2,Yes,<30,0-2 Years,High,Promoted 1-2 Yrs Ago,1
